Position,MeanYear,Longitude,Latitude
Midfielder,1913,-3.1931,55.9794
Midfielder,1913,-4.3864,55.7967
Midfielder,1913,-4.6614,55.62
Forward,1913.5,12.5683,55.6761
Midfielder,1913.5,-1.55,54.9781
Goalkeeper,1913.5,-1.4167,53.2333
Defender,1913.5,-1.995,52.5189
Forward,1913.5,,
Forward,1913.5,-2.5158,52.7
Defender,1913.5,2.7808,50.2897
Forward,1913.5,90.025,60.0167
Forward,1913.5,-4.2589,55.8581
Forward,1913.5,-4.7031,55.655
Midfielder,1914,,
Defender,1914,-2.3747,53.4486
Defender,1914,-2.105,52.9778
Forward,1914,-1.3,53.0667
Forward,1914,-3.0083,53.6453
Midfielder,1914,-1.7289,54.8961
Midfielder,1914,7.3242,51.4736
Defender,1914,8.9328,44.4111
Midfielder,1914,90.025,60.0167
Defender,1914,-4.5739,55.9619
Defender,1914,-5.6081,55.4231
Midfielder,1914,-4.2589,55.8581
Forward,1914.5,-60.6667,-32.95
Midfielder,1914.5,4.35,50.85
Forward,1915,-58.3667,-34.6667
Forward,1915,-0.1061,51.4631
Defender,1915,19.4,45.25
Defender,1915,20.145,46.255
Defender,1915,7.8833,45.3833
Forward,1915.5,16.3667,48.2
Goalkeeper,1915.5,12.5667,55.7167
Defender,1915.5,19.0514,47.4925
,1915.5,8.4167,45.3167
Forward,1915.5,7.7,45.0667
,1915.5,107.9,-7.2167
Midfielder,1915.5,-2.11,57.1525
Forward,1916,-48.5039,-1.4558
Forward,1916,-0.1167,51.5
Midfielder,1916,-3.0192,53.6325
Forward,1916,18.5233,47.0306
Goalkeeper,1916,-74.1528,40.7431
Forward,1916.5,-1.4,50.9
Forward,1916.5,-1.3811,54.9061
Forward,1916.5,-2.0889,52.5081
Midfielder,1916.5,19.0514,47.4925
Forward,1916.5,19.25,47.4333
Forward,1916.5,18.0667,59.35
Forward,1916.5,18.0667,59.35
Defender,1917,16.35,48.2
Defender,1917,16.3667,48.2
Forward,1917,4.35,50.85
Forward,1917,4.3333,50.8
Defender,1917,-46.9578,-22.4319
Midfielder,1917,2.3747,48.8078
,1917,17.1097,48.1439
Defender,1917,7.45,46.95
Forward,1917.5,12.5683,55.6761
Midfielder,1917.5,8.5833,53.55
Defender,1917.5,9.1833,45.4667
Midfielder,1917.5,8.1667,45.3667
,1917.5,10.6333,59.6667
,1917.5,18.0667,59.35
,1917.5,18.0667,59.35
Defender,1917.5,-56.1819,-34.8836
,1918,16.35,48.2
Forward,1918,-4.3864,55.7967
Defender,1918.5,-70.6667,-33.4333
Forward,1918.5,0.0797,51.4869
Midfielder,1918.5,17.4681,47.3236
Forward,1918.5,19.0514,47.4925
Forward,1919,-58.3817,-34.6033
Defender,1919,-1.4667,52.9167
Forward,1919,-1.9497,52.5125
Forward,1919,-1.2342,54.5753
Midfielder,1919,2.3508,48.8567
Forward,1919,3.1667,50.7
Forward,1919,4.9,52.3667
Forward,1919,-3.8772,55.7833
Forward,1919,-56.1667,-34.8833
Forward,1919.5,16.4161,48.1739
Forward,1919.5,-46.6333,-23.55
Forward,1919.5,-46.6333,-23.55
Forward,1919.5,12.5683,55.6761
Forward,1919.5,-5.4161,50.1831
,1920,16.3667,48.2
Midfielder,1920,,
Defender,1920,-0.375,51.4667
Goalkeeper,1920,-1.3811,54.9061
Forward,1920,-2.075,52.5258
Forward,1920,10.5167,52.2667
,1920,18.1531,47.7358
Goalkeeper,1920,19.0514,47.4925
Goalkeeper,1920,8.9167,45.6
Midfielder,1920,9.1833,45.4667
Defender,1920,8.4167,45.3167
Midfielder,1920,-60.6667,-32.95
Forward,1920,9.1833,45.4667
Midfielder,1920,,
Midfielder,1920,-4.3125,55.87
Forward,1920,-4.3797,55.6003
Forward,1920,-2.9236,43.2569
Forward,1920.5,-60.6667,-32.95
Midfielder,1920.5,12.5167,55.8167
Defender,1920.5,-1.4581,53.3911
Defender,1920.5,-2.0836,52.4908
Midfielder,1920.5,-58.3817,-34.6033
Midfielder,1920.5,5.1167,52.0833
,1920.5,4.3167,52.0833
Forward,1920.5,5.1167,52.0833
,1920.5,11.2028,59.2906
Forward,1920.5,6.8667,46.9667
Forward,1921,-43.1964,-22.9083
Defender,1921,-2.7461,53.4542
Defender,1921,-2.515,53.4975
Forward,1921,-2.0606,52.5797
Forward,1921,-1.35,54.7833
Goalkeeper,1921,-0.3278,50.8867
Goalkeeper,1921,-1.4167,53.2333
Midfielder,1921,-1.1333,52.6333
Midfielder,1921,-0.3058,51.5175
Forward,1921,-1.5661,52.76
Midfielder,1921,-0.1133,51.5081
Defender,1921,2.35,48.85
Forward,1921,19.4,45.25
Midfielder,1921,8.9,44.4167
Forward,1921,-9.15,38.7667
Forward,1921,-9.15,38.7667
,1921,-9.1392,38.7136
Midfielder,1921,-7.6333,39.05
Goalkeeper,1921,-3.4833,55.8667
Midfielder,1921,-3.1833,55.95
Midfielder,1921,-2.11,57.1525
Midfielder,1921,-4.3667,55.8
Forward,1921,-4.2589,55.8581
Forward,1921,,
Goalkeeper,1921,-4.1667,55.8167
Forward,1921,-60.6667,-32.95
Forward,1921,-56.1819,-34.8836
Goalkeeper,1921.5,-2.2061,53.765
Midfielder,1921.5,0.4631,51.415
Midfielder,1921.5,13.3833,52.5167
Defender,1921.5,,
Goalkeeper,1921.5,8.9,44.4167
Forward,1921.5,9.8167,44.1
Midfielder,1921.5,8.9328,44.4111
Forward,1921.5,8.6167,44.9167
Defender,1921.5,4.9,52.3667
Goalkeeper,1921.5,-9.15,38.7667
Midfielder,1921.5,-9.15,38.7667
Goalkeeper,1922,-58.3817,-34.6033
Defender,1922,16.3667,48.2
Defender,1922,17.1722,45.7022
Midfielder,1922,-43.1964,-22.9083
Goalkeeper,1922,-1.6,54.95
Forward,1922,-1.4667,51.2167
Defender,1922,-2.6317,53.5447
Forward,1922,-2.8969,53.2789
Forward,1922,-1.5,54.9833
,1922,24.75,59.4167
Midfielder,1922,-0.3667,43.3
Forward,1922,11.0833,49.45
Midfielder,1922,18.2331,46.0714
Forward,1922,19.0514,47.4925
Forward,1922,19.0514,47.4925
Midfielder,1922,19.0514,47.4925
Forward,1922,19.0514,47.4925
Forward,1922,9.1833,45.4667
,1922,11.2028,59.2906
Forward,1922,-9.15,38.7667
Midfielder,1922,-3.1675,56.1108
Defender,1922,-4.0403,55.8928
Forward,1922,-2.9236,43.2569
Forward,1922,122.5667,10.7167
left wing (football),1922,18.0686,59.3294
Forward,1922.5,16.3667,48.2
