PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Jos&#xE9; Mauricio Parra,Venezuela,24,1.7,Midfielder,2011-,2012.5,3,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Jos&#xE9; Leonardo Morales,Venezuela,36,1.84,Goalkeeper,2007-,2010.5,26,0,El Tigre,-64.2611,8.8861
Edgar P&#xE9;rez Greco,Venezuela,32,1.84,Forward,2011-,2012.5,2,1,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Grenddy Perozo,Venezuela,28,1.85,Defender,2006-,2010,44,2,Maracaibo,-71.6333,10.65
R&#xF3;mulo Otero,Venezuela,21,1.65,Midfielder,2013-,2013.5,5,2,Caracas,-66.9167,10.5
Fernando de Ornelas,Venezuela,38,,Midfielder,1999-2007,2003,27,5,Caracas,-66.9167,10.5
Yohandry Orozco,Venezuela,23,1.64,Midfielder,2010-,2012,17,1,Maracaibo,-71.6333,10.65
Rubert Quijada,Venezuela,25,1.8,Defender,2012-,2013,2,0,Matur&#xED;n,-63.1831,9.75
Edder P&#xE9;rez,Venezuela,31,1.74,Defender,2007-,2010.5,7,0,San Felipe Yaracuy,-68.7369,10.3406
&#xC1;ngelo Pe&#xF1;a,Venezuela,24,1.71,Midfielder,2009-,2011.5,11,0,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Giovanni P&#xE9;rez,Venezuela,39,1.74,Midfielder,1997-2007,2002,30,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Jos&#xE9; Manuel Rey,Venezuela,39,1.83,Defender,1997-2011,2004,115,11,Caracas,-66.9167,10.5
Andr&#xE9;s Ponce,Venezuela,17,1.82,Forward,,,,,Maracaibo,-71.6333,10.65
Tom&#xE1;s Rinc&#xF3;n,Venezuela,26,1.75,Midfielder,2008-,2011,56,0,San Crist&#xF3;bal T&#xE1;chira,-72.2333,7.7667
Gelmin Rivas,Venezuela,25,1.82,Forward,2010-,2012,3,0,Cuman&#xE1;,-64.1675,10.4564
Emilio Renter&#xED;a,Venezuela,29,,Forward,2007-,2010.5,9,0,Caracas,-66.9167,10.5
Carlos Rivero (footballer),Venezuela,21,1.78,Defender,2011-,2012.5,3,0,Valencia Carabobo,-68.0039,10.1808
Stalin Rivas,Venezuela,43,1.77,Midfielder,1989-1996,1992.5,34,3,Puerto Ordaz and San Felix,-62.4333,8.1833
Jos&#xE9; Miguel Reyes,Venezuela,22,1.72,Forward,2011-,2012.5,2,0,Valencia Carabobo,-68.0039,10.1808
Giovanny Romero,Venezuela,30,1.84,Defender,2010-,2012,5,0,Caracas,-66.9167,10.5
Jos&#xE9; Salom&#xF3;n Rond&#xF3;n,Venezuela,25,1.89,Forward,2008-,2011,35,12,Caracas,-66.9167,10.5
Alexander Rond&#xF3;n,Venezuela,37,1.74,Forward,1999-,2006.5,44,5,Cuman&#xE1;,-64.1675,10.4564
Roberto Rosales,Venezuela,25,1.74,Defender,2007-,2010.5,52,0,Caracas,-66.9167,10.5
Rafael Romo,Venezuela,24,1.95,Goalkeeper,2009-,2011.5,8,0,Venezuela,-66.9667,10.5
Rafael Ponzo,Venezuela,35,1.82,Goalkeeper,2004-2006,2005,2,0,Caracas,-66.9167,10.5
Paul Ram&#xED;rez,Venezuela,,,Forward,2005,2005,1,0,Caracas,-66.9167,10.5
Jorge Alberto Rojas,Venezuela,37,,Defender,1999-,2006.5,91,3,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Luis Manuel Seijas,Venezuela,28,1.74,Midfielder,2006-,2010,51,2,Valencia Carabobo,-68.0039,10.1808
